find_name	find_taxid	find_taxrank
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus cereus ATCC 14579	226900	strain
Bacillus thuringiensis str. Al Hakam	412694	strain
Paenibacillus pabuli	1472	species
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus cereus group	86661	species group
Bacillus cereus ATCC 14579	226900	strain
Bacillus cereus	1396	species
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus cereus	1396	species
Priestia megaterium	1404	species
Bacillus mycoides	1405	species
Bacillus sp. (in: Bacteria)	1409	species
Priestia megaterium	1404	species
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus subtilis subsp. subtilis str. 168	224308	strain
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus thuringiensis serovar kurstaki	29339	no rank
Priestia megaterium	1404	species
Priestia megaterium QM B1551	545693	strain
Priestia megaterium WSH-002	1006007	strain
Priestia megaterium	1404	species
Priestia megaterium	1404	species
Priestia megaterium	1404	species
Bacillus cereus	1396	species
Bacillus subtilis	1423	species
Bacillus cereus	1396	species
Bacillus cereus NC7401	334406	strain
Bacillus cereus	1396	species
Bacillus cereus NC7401	334406	strain
Bacillus thuringiensis serovar israelensis	1430	no rank
Bacillus cereus	1396	species
Bacillus cereus	1396	species
Bacillus subtilis	1423	species
Bacillus subtilis	1423	species
Bacillus cereus	1396	species
Bacillus cereus group	86661	species group
Bacillus cereus	1396	species
Bacillus cereus group	86661	species group
Bacillus pumilus	1408	species
Bacillus cereus group	86661	species group
Bacillus subtilis	1423	species
Bacillus thuringiensis serovar israelensis ATCC 35646	339854	strain
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus subtilis subsp. natto	86029	subspecies
Priestia megaterium	1404	species
Priestia megaterium QM B1551	545693	strain
Priestia megaterium WSH-002	1006007	strain
Priestia megaterium	1404	species
Priestia megaterium	1404	species
Bacillus subtilis	1423	species
Bacillus cereus	1396	species
Bacillus anthracis str. Sterne	260799	strain
Bacillus pumilus	1408	species
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus cereus group	86661	species group
Bacillus cereus group	86661	species group
Bacillus cereus ATCC 14579	226900	strain
Bacillus thuringiensis str. Al Hakam	412694	strain
Bacillus thuringiensis serovar kurstaki str. HD73	1279365	strain
Bacillus anthracis	1392	species
Bacillus cereus	1396	species
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus cereus group	86661	species group
Bacillus cereus ATCC 14579	226900	strain
Bacillus anthracis str. Sterne	260799	strain
Bacillus thuringiensis str. Al Hakam	412694	strain
Bacillus cereus	1396	species
Bacillus sp. (in: Bacteria)	1409	species
Bacillus subtilis	1423	species
Bacillus subtilis	1423	species
Priestia megaterium	1404	species
Bacillus subtilis	1423	species
Bacillus subtilis	1423	species
Bacillus paralicheniformis ATCC 9945a	766760	strain
Bacillus subtilis	1423	species
Bacillus subtilis	1423	species
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus subtilis	1423	species
Priestia megaterium	1404	species
Priestia megaterium	1404	species
Priestia megaterium QM B1551	545693	strain
Priestia megaterium	1404	species
Bacillus cereus group	86661	species group
Peribacillus simplex	1478	species
Bacillus pumilus	1408	species
Bacillus thuringiensis serovar kurstaki	29339	no rank
Bacillus cereus	1396	species
