virus_name	viral_acc	evidence	report_host	host_taxid	host_lineage	host_tax_rank
Pseudomonas virus phi6	NC_003714, NC_003715, NC_003716	NCBI Virus, RefSeq, UniProt	Pseudomonas savastanoi pv. phaseolicola	319	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 2	strain
Pseudomonas virus phiCTX	NC_003278	Literature, NCBI Virus, RefSeq	Pseudomonas aeruginosa	287	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group	species
Pseudomonas virus phiKZ	AF399011	Literature, UniProt	Pseudomonas aeruginosa	287	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group	species
Pseudomonas virus PMG1	NC_016765	NCBI Virus, RefSeq	Pseudomonas aeruginosa	287	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group	species
Pseudomonas virus Yua	NC_010116	NCBI Virus, RefSeq, UniProt	Pseudomonas aeruginosa	287	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group	species
Psychrobacter phage pOW20-A	NC_020841	NCBI Virus, RefSeq	Psychrobacter sp. OW20	728061	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Psychrobacter	species
Psychrobacter phage Psymv2	NC_023734	NCBI Virus, RefSeq	Psychrobacter sp. MV2	936347	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Psychrobacter	species
Puniceispirillum phage HMO-2011	NC_021864	NCBI Virus, RefSeq	Candidatus Puniceispirillum marinum IMCC1322	488538	Bacteria; Proteobacteria; Alphaproteobacteria; SAR116 cluster; Candidatus Puniceispirillum; Candidatus Puniceispirillum marinum	strain
Pyrobaculum filamentous virus 1	NC_029548	RefSeq	Pyrobaculum arsenaticum	121277	Archaea; TACK group; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum	species
Pyrobaculum spherical virus	NC_005872	RefSeq, UniProt	Thermoproteus tenax	2271	Archaea; TACK group; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Thermoproteus	species
Pyrobaculum spherical virus	NC_005872	RefSeq	Pyrobaculum sp. D11	266022	Archaea; TACK group; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum	species
Pyrococcus abyssi virus 1	NC_009597	NCBI Virus, RefSeq	Pyrococcus abyssi	29292	Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Pyrococcus	species
Ralstonia phage Adzire	NC_054462	NCBI Virus, RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Anchaing	NC_054891	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Bakoly	NC_054463	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Cimandef	NC_054956	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Claudette	NC_054962	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Dina	NC_055026	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage DU_RP_I	NC_047888	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Eline	NC_054957	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Firinga	NC_054961	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Gamede	NC_054958	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Gerry	NC_054959	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Gervaise	NC_054963	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage GP4	NC_054964	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Heva	NC_054960	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage p12J	NC_005131	NCBI Virus, RefSeq	Ralstonia pickettii	329	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage PE226	NC_015297	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage phiAp1	NC_047800	NCBI Virus, RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage phiITL-1	NC_047751	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage phiRSL1	NC_010811	Literature	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage phiRSP	NC_054146	NCBI Virus, RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Raharianne	NC_054955	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RP12	NC_041911	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RPSC1	NC_047982	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RS-PI-1	NC_047816	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RS-PII-1	NC_047804	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RS138	NC_029107	NCBI Virus, RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Rs551	NC_047765	RefSeq	Ralstonia solanacearum UW551	342110	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Ralstonia solanacearum	strain
Ralstonia phage RS603	NC_025454	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RS611	NC_055054	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RSB1	NC_011201	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RSB2	NC_023736	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RSB3	NC_022917	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RSF1	NC_028899	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RSJ2	NC_028988	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RSJ5	NC_029007	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RSK1	NC_022915	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RSM1	NC_008574	Literature	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RSMSuper	AB981170	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RsoM1USA	NC_049432	NCBI Virus, RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RsoP1EGY	NC_047946	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RsoP1IDN	NC_047930	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RSS-TH1	NC_055053	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RSS0	NC_019548	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RSS1	NC_008575	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RSS20	NC_021866	NCBI Virus, RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RSS30	NC_021862	NCBI Virus, RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage RSY1	NC_025115	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Simangalove	NC_054946	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia virus RSA1	NC_009382	NCBI Virus, RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia virus RSIBR1	NC_055052	NCBI Virus, RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Raoultella phage Ro1	NC_048682	RefSeq	Raoultella ornithinolytica	54291	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Raoultella	species
Raoultella phage RP180	NC_048181	RefSeq	Raoultella sp.	1873496	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Raoultella	species
Rheinheimera phage Barba21A	NC_048191	RefSeq	Rheinheimera sp. BAL341	1708203	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Rheinheimera	species
Rheinheimera phage Barba5S	NC_048187	RefSeq	Rheinheimera sp. BAL341	1708203	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Rheinheimera	species
Rheinheimera phage Barba8S	NC_048188	RefSeq	Rheinheimera sp. BAL341	1708203	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Rheinheimera	species
Rheinheimera phage vB_RspM_Barba18A	NC_048189	RefSeq	Rheinheimera sp. BAL341	1708203	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Rheinheimera	species
Rheinheimera phage vB_RspM_Barba19A	NC_048190	RefSeq	Rheinheimera sp. BAL341	1708203	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Rheinheimera	species
Rhizobium phage 16-3	NC_011103	UniProt	Sinorhizobium meliloti	382	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Sinorhizobium	species
Rhizobium phage RHEph01	NC_047738	RefSeq	Rhizobium etli	29449	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium	species
Rhizobium phage RHEph02	NC_047868	RefSeq	Rhizobium etli	29449	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium	species
Rhizobium phage RHEph03	JX483875	NCBI Virus, RefSeq	Rhizobium etli	29449	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium	species
Rhizobium phage RHEph04	NC_041908	RefSeq	Rhizobium etli GR56	526947	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium; Rhizobium etli	strain
Rhizobium phage RHEph05	JX483877	NCBI Virus, RefSeq	Rhizobium etli GR56	526947	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium; Rhizobium etli	strain
Rhizobium phage RHEph06	NC_027296	NCBI Virus, RefSeq	Rhizobium etli GR56	526947	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium; Rhizobium etli	strain
Rhizobium phage RHEph08	NC_047869	RefSeq	Rhizobium etli	29449	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium	species
Rhizobium phage RHEph09	NC_047870	RefSeq	Rhizobium etli	29449	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium	species
Rhizobium phage RHEph10	NC_034248	RefSeq	Rhizobium etli	29449	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium	species
Rhizobium phage RHEph10	NC_034248	NCBI Virus	Rhizobium etli CFN 42	347834	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium; Rhizobium etli	strain
Rhizobium phage RR1-A	NC_021560	NCBI Virus, RefSeq	Agrobacterium tumefaciens	358	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Agrobacterium; Agrobacterium tumefaciens complex	species
Rhizobium phage RR1-B	NC_021557	NCBI Virus, RefSeq	Agrobacterium tumefaciens	358	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Agrobacterium; Agrobacterium tumefaciens complex	species
Rhizobium phage vB_RglS_P106B	NC_023566	RefSeq	Rhizobium gallicum	56730	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium	species
Rhizobium phage vB_RleM_P10VF	NC_025429	NCBI Virus, RefSeq	Rhizobium leguminosarum	384	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium	species
Rhizobium phage vB_RleM_PPF1	NC_025427	NCBI Virus, RefSeq	Rhizobium leguminosarum	384	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium	species
Rhizobium phage vB_RleS_L338C	NC_023502	NCBI Virus, RefSeq	Rhizobium leguminosarum	384	Bacteria; Proteobacteria; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium	species
Rhodobacter phage RC1	NC_020839	RefSeq	Rhodobacter sp.	1062	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter	species
Rhodobacter phage RcapMu	NC_016165	RefSeq	Rhodobacter capsulatus	1061	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter	species
Rhodobacter phage RcapMu	NC_016165	NCBI Virus	Rhodobacter capsulatus SB 1003	272942	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Rhodobacter capsulatus	strain
Rhodobacter phage RcapNL	NC_020489	RefSeq	Rhodobacter capsulatus	1061	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter	species
Rhodobacter phage RcapNL	NC_020489	NCBI Virus	Rhodobacter capsulatus SB 1003	272942	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Rhodobacter capsulatus	strain
Rhodobacter phage RcCronus	NC_042049	RefSeq	Rhodobacter capsulatus YW1	1414586	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Rhodobacter capsulatus	strain
Rhodobacter phage RcRhea	NC_028954	RefSeq	Rhodobacter capsulatus YW1	1414586	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Rhodobacter capsulatus	strain
Rhodobacter phage RcSpartan	NC_041963	RefSeq	Rhodobacter capsulatus YW1	1414586	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Rhodobacter capsulatus	strain
Rhodobacter phage RcTitan	NC_029097	RefSeq	Rhodobacter capsulatus YW1	1414586	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Rhodobacter capsulatus	strain
Rhodococcus phage CosmicSans	NC_028677	NCBI Virus, RefSeq	Rhodococcus erythropolis	1833	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus; Rhodococcus erythropolis group	species
Rhodococcus phage E3	NC_021347	NCBI Virus, RefSeq	Rhodococcus hoagii	43767	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus	species
Rhodococcus phage Finch	NC_054724	NCBI Virus, RefSeq	Rhodococcus erythropolis	1833	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus; Rhodococcus erythropolis group	species
Rhodococcus phage Hiro	NC_048669	RefSeq	Rhodococcus erythropolis	1833	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus; Rhodococcus erythropolis group	species
Rhodococcus phage PhailMary	NC_054762	NCBI Virus, RefSeq	Rhodococcus erythropolis	1833	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus; Rhodococcus erythropolis group	species
Rhodococcus phage REQ1	NC_016655	NCBI Virus, RefSeq	Rhodococcus hoagii	43767	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus	species
Rhodococcus phage REQ2	NC_016652	NCBI Virus, RefSeq	Rhodococcus hoagii	43767	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus	species
Rhodococcus phage REQ3	NC_016654	NCBI Virus, RefSeq	Rhodococcus hoagii	43767	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus	species
Rhodococcus phage ReqiDocB7	NC_023706	NCBI Virus, RefSeq	Rhodococcus hoagii	43767	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus	species
Rhodococcus phage ReqiPepy6	NC_023735	RefSeq	Rhodococcus hoagii	43767	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus	species
Rhodococcus phage ReqiPine5	NC_023722	NCBI Virus, RefSeq	Rhodococcus hoagii	43767	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus	species
Rhodococcus phage ReqiPoco6	NC_023694	RefSeq	Rhodococcus hoagii	43767	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus	species
Rhodococcus phage RER2	NC_016653	RefSeq	Rhodococcus erythropolis	1833	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus; Rhodococcus erythropolis group	species
Rhodococcus phage RRH1	NC_016651	NCBI Virus, RefSeq	Rhodococcus rhodochrous	1829	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus	species
Rhodococcus phage Sleepyhead	NC_048782	RefSeq	Rhodococcus erythropolis	1833	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus; Rhodococcus erythropolis group	species
Rhodococcus phage Takoda	NC_048708	RefSeq	Rhodococcus erythropolis	1833	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus; Rhodococcus erythropolis group	species
Rhodococcus phage Toil	NC_055061	RefSeq	Rhodococcus opacus	37919	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus	species
Rhodococcus phage Trina	NC_042040	RefSeq	Rhodococcus erythropolis	1833	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus; Rhodococcus erythropolis group	species
Rhodococcus phage Weasels2	NC_041887	RefSeq	Rhodococcus erythropolis	1833	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus; Rhodococcus erythropolis group	species
Rhodococcus phage Whack	NC_048784	RefSeq	Rhodococcus erythropolis	1833	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus; Rhodococcus erythropolis group	species
Rhodococcus virus RGL3	NC_016650	NCBI Virus, RefSeq	Rhodococcus globerulus	33008	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus	species
Rhodoferax phage P26218	NC_029061	NCBI Virus, RefSeq	Rhodoferax sp. IMCC26218	2184758	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Rhodoferax	species
Rhodothermus phage RM378	NC_004735	NCBI Virus, RefSeq, UniProt	Rhodothermus marinus	29549	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus	species
Rhodovulum phage RS1	NC_020866	RefSeq	Rhodovulum sp.	34009	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodovulum	species
Rhodovulum phage vB_RhkS_P1	NC_031059	NCBI Virus, RefSeq	Rhodovulum sp. P5	1564506	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodovulum	species
Riemerella phage RAP44	NC_019490	NCBI Virus, RefSeq	Riemerella anatipestifer	34085	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Weeksellaceae; Riemerella	species
Roseobacter phage RD-1410W1-01	NC_049372	RefSeq	Roseobacter denitrificans	2434	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Roseobacteraceae; Roseobacter	species
Roseobacter phage RD-1410W1-01	NC_049372	RefSeq	Roseobacter denitrificans OCh 114	375451	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Roseobacteraceae; Roseobacter; Roseobacter denitrificans	strain
Roseobacter phage RDJL Phi 1	NC_015466	RefSeq	Roseobacter denitrificans	2434	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Roseobacteraceae; Roseobacter	species
Roseobacter phage RDJL Phi 1	NC_015466	RefSeq	Roseobacter denitrificans OCh 114	375451	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Roseobacteraceae; Roseobacter; Roseobacter denitrificans	strain
Roseobacter phage RDJL Phi 2	NC_041958	RefSeq	Roseobacter denitrificans	2434	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Roseobacteraceae; Roseobacter	species
Roseobacter phage RDJL Phi 2	NC_041958	RefSeq	Roseobacter denitrificans OCh 114	375451	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Roseobacteraceae; Roseobacter; Roseobacter denitrificans	strain
Roseobacter virus SIO1	AF189021	Literature	Roseobacter sp. SIO67	391588	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Roseobacteraceae; Roseobacter	species
Roseovarius Plymouth podovirus 1	NC_049345	NCBI Virus, RefSeq	Roseovarius nubinhibens	314263	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Roseobacteraceae; Roseovarius	species
Ruegeria phage DSS3-P1	NC_025428	NCBI Virus, RefSeq	Ruegeria pomeroyi DSS-3	246200	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Roseobacteraceae; Ruegeria; Ruegeria pomeroyi	strain
Ruegeria phage vB_RpoP-V12	NC_049435	RefSeq	Ruegeria pomeroyi DSS-3	246200	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Roseobacteraceae; Ruegeria; Ruegeria pomeroyi	strain
Ruegeria phage vB_RpoP-V13	NC_049436	RefSeq	Ruegeria pomeroyi DSS-3	246200	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Roseobacteraceae; Ruegeria; Ruegeria pomeroyi	strain
Ruegeria phage vB_RpoS-V11	NC_052971	NCBI Virus, RefSeq	Ruegeria pomeroyi DSS-3	246200	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Roseobacteraceae; Ruegeria; Ruegeria pomeroyi	strain
Ruegeria phage vB_RpoS-V16	NC_052969	NCBI Virus, RefSeq	Ruegeria pomeroyi DSS-3	246200	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Roseobacteraceae; Ruegeria; Ruegeria pomeroyi	strain
