virus_name	viral_acc	report_host	host_taxid	host_lineage	host_tax_rank
Mycobacterium phage Harvey	JF937095	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Hawkeye	NC_024209	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Heath	NC_055860	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Heathcliff	KJ194584	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Hedgerow	JN698991	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Heffalump	NC_054811	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Hegedechwinu	NC_051666	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Henry	JF937096	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Henu3	NC_051589	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Henu3 PeY-2017	NC_051667	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Hertubise	JF937097	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage HH92	KJ538722	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage HINdeR	NC_021308	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Hlubikazi	NC_051668	Mycolicibacterium smegmatis	1772	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium	species
Mycobacterium phage Hope	GQ303261	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Hosp	NC_024145	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage HufflyPuff	NC_022981	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Hurricane	NC_051604	Mycolicibacterium smegmatis	1772	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium	species
Mycobacterium phage HyRo	NC_028869	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Ichabod	NC_052433	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage ICleared	NC_054800	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage ILeeKay	NC_052434	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Imvubu	NC_051586	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Indlulamithi	NC_048824	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Inventum	NC_026596	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage Iracema64	NC_028687	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
Mycobacterium phage IronMan	NC_054814	Mycolicibacterium smegmatis MC2 155	246196	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium; Mycolicibacterium smegmatis	strain
