virus_name	viral_acc	report_host	host_taxid	host_lineage	host_tax_rank
Acholeplasma phage MV-L51	NC_001341	Acholeplasma laidlawii	2148	Bacteria; Terrabacteria group; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	species
Acholeplasma virus L2	NC_001447	Acholeplasma laidlawii	2148	Bacteria; Terrabacteria group; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	species
Achromobacter phage 83-24	NC_028834	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage JWAlpha	NC_023556	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage JWDelta	KF787094	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage JWF	NC_029075	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage JWX	NC_028768	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage Mano	NC_054147	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage Motura	NC_049849	Achromobacter animicus	1389935	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage phiAxp-1	NC_029033	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage phiAxp-2	NC_029106	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage phiAxp-3	NC_028908	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage vB_AchrS_AchV4	NC_052974	Achromobacter spanius	217203	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage vB_AxyP_19-32_Axy04	NC_054967	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage vB_AxyP_19-32_Axy10	NC_054971	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage vB_AxyP_19-32_Axy11	NC_054972	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage vB_AxyP_19-32_Axy12	NC_054968	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage vB_AxyP_19-32_Axy24	NC_054969	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Acidianus bottle-shaped virus	NC_009452	Acidianus convivator	269667	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species
Acidianus filamentous virus 1	NC_005830	Acidianus infernus	12915	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species
Acidianus filamentous virus 1	NC_005830	Acidianus hospitalis	563177	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species
Acidianus filamentous virus 2	NC_009884	Acidianus pozzuoliensis	314564	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species
Acidianus filamentous virus 2	NC_009884	Acidianus sp. F28	315458	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species
Acidianus filamentous virus 3	NC_010155	Acidianus sp. Acii25	315461	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species
Acidianus filamentous virus 6	NC_010152	Acidianus convivator	269667	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species
Acidianus filamentous virus 7	NC_010153	Acidianus convivator	269667	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species
Acidianus filamentous virus 8	NC_010154	Acidianus convivator	269667	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species
Acidianus filamentous virus 9	NC_010537	Acidianus convivator	269667	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species
Acidianus filamentous virus 9	NC_010537	Acidianus uzoniensis	518068	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species
Acidianus rod-shaped virus 1	NC_009965	Acidianus sp. Acii26	315460	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species
Acidianus spindle-shaped virus 1	NC_013585	Acidianus brierleyi	41673	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species
Acidianus two-tailed virus	NC_007409	Acidianus convivator	269667	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species
Acidithiobacillus phage AcaML1	JX507079	Acidithiobacillus caldus ATCC 51756	637389	Bacteria; Proteobacteria; Acidithiobacillia; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus; Acidithiobacillus caldus	strain
Acidovorax phage ACP17	NC_041997	Acidovorax citrulli	80869	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax	species
Acinetobacter phage AB1	NC_042028	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage AB3	NC_021337	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage AbKT21phiIII	NC_048142	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage Abp1	NC_021316	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage AbP2	NC_041998	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage AbTZA1	NC_049445	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage Acj61	NC_014661	Acinetobacter johnsonii	40214	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	species
Acinetobacter phage Acj9	NC_014663	Acinetobacter johnsonii	40214	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	species
Acinetobacter phage AM101	NC_049511	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage AP205	NC_002700	Acinetobacter genomosp. 16BJ	70347	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	species
Acinetobacter phage AP22	NC_017984	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage Fri1	NC_028848	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage IME-200	NC_028987	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage IMEAB3	NC_023590	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage KARL-1	NC_049441	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage Loki	NC_042137	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage Loki	NC_042137	Acinetobacter lwoffii	28090	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	species
Acinetobacter phage Loki	NC_042137	Acinetobacter baylyi ADP1	62977	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter baylyi	strain
Acinetobacter phage Loki	NC_042137	Acinetobacter baumannii ATCC 17978	400667	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex; Acinetobacter baumannii	strain
Acinetobacter phage LZ35	NC_031117	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage Petty	NC_023570	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage phiAB1	NC_028675	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage phiAB6	NC_031086	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage phiAC-1	NC_028995	Acinetobacter soli	487316	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	species
Acinetobacter phage Presley	NC_023581	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage SH-Ab 15519	NC_041905	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage SWH-Ab-1	NC_047896	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage SWH-Ab-3	NC_047883	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaM-IME-AB2	NC_041857	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaM_Acibel004	NC_025462	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaM_Apostate	NC_049491	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaM_B09_Aci01-1	NC_048074	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaM_B09_Aci02-2	NC_048075	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaM_B09_Aci05	NC_048080	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaM_Berthold	NC_049490	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaM_Kimel	NC_049492	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaM_Konradin	NC_049479	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaM_Lazarus	NC_049493	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaM_ME3	NC_041884	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaM_phiAbaA1	NC_031280	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaM_PhT2	NC_049494	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaP_46-62_Aci07	NC_048076	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaP_Acibel007	NC_025457	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaP_AS11	NC_041915	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaP_AS12	NC_041914	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaP_B09_Aci08	NC_048081	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaP_B1	NC_042003	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaP_B1	NC_042003	Acinetobacter baumannii NIPH 2061	1217645	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex; Acinetobacter baumannii	strain
Acinetobacter phage vB_AbaP_B3	NC_042004	Acinetobacter nosocomialis	106654	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaP_B3	NC_042004	Acinetobacter baumannii NIPH 2061	1217645	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex; Acinetobacter baumannii	strain
Acinetobacter phage vB_AbaP_B5	NC_042005	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaP_B5	NC_042005	Acinetobacter baumannii NIPH 2061	1217645	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex; Acinetobacter baumannii	strain
Acinetobacter phage vB_AbaP_D2	NC_042124	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaP_PD-6A3	NC_028684	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaP_PD-6A3	NC_028684	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Acinetobacter phage vB_AbaP_PD-AB9	NC_028679	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_AbaS_TRS1	NC_031098	Acinetobacter baumannii A118	927193	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex; Acinetobacter baumannii	strain
Acinetobacter phage vB_ApiM_fHyAci03	NC_049438	Acinetobacter pittii	48296	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_ApiM_fHyAci03	NC_049438	Acinetobacter nosocomialis	106654	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_ApiP_P1	NC_042006	Acinetobacter pittii	48296	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage vB_ApiP_P1	NC_042006	Acinetobacter baumannii NIPH 290	1217631	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex; Acinetobacter baumannii	strain
Acinetobacter phage vB_ApiP_P2	NC_042007	Acinetobacter pittii	48296	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage VB_ApiP_XC38	NC_055823	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage VB_ApiP_XC38	NC_055823	Acinetobacter pittii	48296	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage WCHABP1	NC_041966	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage WCHABP12	NC_041924	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage WCHABP5	NC_041967	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage YMC-13-01-C62	NC_024785	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage YMC/09/02/B1251	NC_019541	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage YMC11/11/R3177	NC_041866	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage YMC11/12/R2315	NC_028855	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage YMC11/12/R2315	NC_028855	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Acinetobacter phage YMC13/03/R2096	NC_027332	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter phage ZZ1	NC_018087	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species
Acinetobacter virus 133	NC_015250	Acinetobacter johnsonii	40214	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	species
Actinomyces phage Av-1	DQ123818	Actinomyces naeslundii	1655	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Actinomycetales; Actinomycetaceae; Actinomyces	species
Actinomyces phage Av-1	DQ123818	Actinomyces naeslundii MG1	240017	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces naeslundii	strain
Actinomyces virus Av1	NC_009643	Actinomyces naeslundii	1655	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Actinomycetales; Actinomycetaceae; Actinomyces	species
Actinoplanes phage phiAsp2	NC_005885	Actinoplanes sp. SN223/29	442459	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Micromonosporales; Micromonosporaceae; Actinoplanes	species
Aeribacillus phage AP45	NC_048651	Geobacillus icigianus	1430331	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus	species
Aeribacillus phage AP45	NC_048651	Aeribacillus sp.	1872391	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Aeribacillus	species
Aeromonas phage 25AhydR2PP	NC_047966	Aeromonas hydrophila subsp. hydrophila ATCC 7966	380703	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas; Aeromonas hydrophila; Aeromonas hydrophila subsp. hydrophila	strain
Aeromonas phage 2L372D	NC_048769	Aeromonas hydrophila subsp. hydrophila	196023	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas; Aeromonas hydrophila	subspecies
Aeromonas phage 2L372X	NC_048770	Aeromonas hydrophila subsp. hydrophila	196023	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas; Aeromonas hydrophila	subspecies
Aeromonas phage 2_D05	NC_054465	Aeromonas rivipollensis	948519	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	species
Aeromonas phage 4L372D	NC_048771	Aeromonas hydrophila subsp. hydrophila	196023	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas; Aeromonas hydrophila	subspecies
Aeromonas phage 4L372XY	NC_048772	Aeromonas hydrophila subsp. hydrophila	196023	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas; Aeromonas hydrophila	subspecies
Aeromonas phage 4_4572	NC_048773	Aeromonas hydrophila subsp. hydrophila	196023	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas; Aeromonas hydrophila	subspecies
Aeromonas phage 4_D05	NC_054466	Aeromonas rivipollensis	948519	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	species
Aeromonas phage 50AhydR13PP	NC_055746	Aeromonas hydrophila	644	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	species
Aeromonas phage 60AhydR15PP	NC_055747	Aeromonas hydrophila	644	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	species
Aeromonas phage Aeh1	NC_005260	Aeromonas hydrophila	644	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	species
Aeromonas phage Aes012	NC_020879	Aeromonas sp.	647	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	species
Aeromonas phage Aes508	NC_019543	Aeromonas salmonicida	645	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	species
Aeromonas phage Ah1	NC_055733	Aeromonas hydrophila	644	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	species
Aeromonas phage Ahp1	NC_047866	Aeromonas hydrophila	644	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	species
Aeromonas phage Ahp1	NC_047866	Aeromonas hydrophila subsp. hydrophila ATCC 7966	380703	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas; Aeromonas hydrophila; Aeromonas hydrophila subsp. hydrophila	strain
Aeromonas phage AhSzq-1	NC_047949	Aeromonas hydrophila	644	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	species
Aeromonas phage AhSzw-1	NC_047950	Aeromonas hydrophila	644	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	species
Aeromonas phage AS-gz	NC_042019	Aeromonas hydrophila	644	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	species
Aeromonas phage AS-gz	NC_042019	Aeromonas salmonicida	645	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	species
