k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus B3;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus B5;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus B5;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus D2;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus PD6A3;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus PD6A3;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus PDAB9;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Acinetobacter phage vB_AbaS_TRS1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Lazarusvirus;s__Acinetobacter virus fHyAci03;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Lazarusvirus;s__Acinetobacter virus fHyAci03;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus P1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus P1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus P2;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Presleyvirus;s__Acinetobacter phage VB_ApiP_XC38;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Presleyvirus;s__Acinetobacter phage VB_ApiP_XC38;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Obolenskvirus;s__Acinetobacter virus WCHABP1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Obolenskvirus;s__Acinetobacter virus WCHABP12;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Friunavirus;s__Acinetobacter virus WCHABP5;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Obolenskvirus;s__Acinetobacter virus AbC62;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Vieuvirus;s__Acinetobacter virus B1251;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Vieuvirus;s__Acinetobacter virus R3177;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Obolenskvirus;s__Acinetobacter virus AbC62;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Obolenskvirus;s__Acinetobacter virus AbC62;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Acinetobacter phage YMC13/03/R2096;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Zedzedvirus;s__Acinetobacter virus ZZ1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Acinetobacter virus 133;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Podoviridae;g__Dybvigvirus;s__Actinomyces virus Av1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Podoviridae;g__Dybvigvirus;s__Actinomyces virus Av1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Podoviridae;g__Dybvigvirus;s__Actinomyces virus Av1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Actinoplanes phage phiAsp2;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Kamchatkavirus;s__Aeribacillus virus AP45;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Kamchatkavirus;s__Aeribacillus virus AP45;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Aerosvirus;s__Aeromonas virus 25AhydR2PP;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Plateaulakevirus;s__Aeromonas virus 2L372D;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Plateaulakevirus;s__Aeromonas virus 2L372X;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Aeromonas phage 2_D05;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Plateaulakevirus;s__Aeromonas virus 4L372D;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Plateaulakevirus;s__Aeromonas virus 4L372XY;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Podoviridae;g__Lahexavirus;s__Aeromonas virus 4-4572;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Aeromonas phage 4_D05;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Tulanevirus;s__Aeromonas phage 50AhydR13PP;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Tulanevirus;s__Aeromonas virus AS4;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Aeromonas virus Aeh1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Tulanevirus;s__Aeromonas virus Aes12;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Tulanevirus;s__Aeromonas virus Aes508;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Aeromonas phage Ah1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Ahphunavirus;s__Aeromonas virus Ahp1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Ahphunavirus;s__Aeromonas virus Ahp1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Demerecviridae;g__Shenzhenvirus;s__Aeromonas virus AhSzq1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Demerecviridae;g__Shenzhenvirus;s__Aeromonas virus AhSzw1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Tulanevirus;s__Aeromonas virus Asgz;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Tulanevirus;s__Aeromonas virus Asgz;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Ceceduovirus;s__Aeromonas virus ASsw;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Ceceduovirus;s__Aeromonas virus ASsw;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Ceceduovirus;s__Aeromonas virus ASzj;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Ceceduovirus;s__Aeromonas virus ASzj;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Aeromonas phage BUCT551;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Aeromonas phage BUCT551;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Ceceduovirus;s__Aeromonas virus CC2;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Ahphunavirus;s__Aeromonas virus CF7;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Podoviridae;g__Lahexavirus;s__Aeromonas virus LAh6;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Aeromonas phage LAh_7;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Podoviridae;g__Lahexavirus;s__Aeromonas virus LAh8;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Podoviridae;g__Lahexavirus;s__Aeromonas virus LAh9;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Chaseviridae;g__Pahsextavirus;s__Aeromonas virus pAh6C;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Ackermannviridae;g__Tedavirus;s__Aeromonas virus A8-29;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Tulanevirus;s__Aeromonas virus AS4;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Aeromonas phage phiAS5;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Aerosvirus;s__Aeromonas virus AS7;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Roufvirus;s__Aeromonas virus pIS4A;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Aeromonas phage PX29;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Aeromonas phage vB_AhyS-A18P4;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Popoffvirus;s__Aeromonas virus 56;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Aerosvirus;s__Aeromonas virus ZPAH7;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Tulanevirus;s__Aeromonas virus 25;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Biquartavirus;s__Aeromonas virus 44RR2;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Biquartavirus;s__Aeromonas virus 44RR2;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Ishigurovirus;s__Aeromonas virus 65;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Bielevirus;s__Aeromonas virus phiO18P;t__
k__Viruses;p__;c__;o__;f__Spiraviridae;g__Alphaspiravirus;s__Aeropyrum coil-shaped virus;t__
k__Viruses;p__;c__;o__;f__;g__;s__Aeropyrum globular virus 1;t__
k__Viruses;p__;c__;o__;f__;g__;s__Aeropyrum globular virus 1;t__
k__Viruses;p__;c__;o__;f__Clavaviridae;g__Clavavirus;s__Aeropyrum pernix bacilliform virus 1;t__
k__Viruses;p__;c__;o__;f__Guttaviridae;g__Betaguttavirus;s__Aeropyrum pernix ovoid virus 1;t__
k__Viruses;p__;c__;o__;f__Guttaviridae;g__Betaguttavirus;s__Aeropyrum pernix ovoid virus 1;t__
k__Viruses;p__;c__;o__;f__;g__;s__Aeropyrum pernix spindle-shaped virus 1;t__
k__Viruses;p__;c__;o__;f__;g__;s__Aeropyrum pernix spindle-shaped virus 1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Aggregatibacter phage S1249;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Schmittlotzvirus;s__Agrobacterium virus 7-7-1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Atuphduovirus;s__Agrobacterium virus Atuph02;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Atuphduovirus;s__Agrobacterium virus Atuph03;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Polybotosvirus;s__Agrobacterium virus Atuph07;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Yuavirus;s__Alphaproteobacteria virus phiJl001;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Amoyvirus;s__Alteromonas virus R7M;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__;s__Alteromonas phage vB_AmaP_AD45-P1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__;s__Alteromonas phage vB_AmaP_AD45-P1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__;s__Alteromonas phage vB_AmaP_AD45-P1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__;s__Alteromonas phage vB_AmaP_AD45-P1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__;s__Alteromonas phage vB_AmaP_AD45-P2;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__;s__Alteromonas phage vB_AmaP_AD45-P2;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__;s__Alteromonas phage vB_AmaP_AD45-P2;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__;s__Alteromonas phage vB_AmaP_AD45-P2;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__;s__Alteromonas phage vB_AmaP_AD45-P3;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__;s__Alteromonas phage vB_AmaP_AD45-P3;t__
