virus_name	viral_acc	report_host	gcf	find_taxrank
Acholeplasma phage MV-L51	NC_001341	Acholeplasma laidlawii	GCF_900476025.1	species
Acholeplasma virus L2	NC_001447	Acholeplasma laidlawii	GCF_900476025.1	species
Achromobacter phage 83-24	NC_028834	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage JWAlpha	NC_023556	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage JWDelta	KF787094	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage JWF	NC_029075	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage JWX	NC_028768	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage Mano	NC_054147	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage phiAxp-1	NC_029033	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage phiAxp-2	NC_029106	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage phiAxp-3	NC_028908	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage vB_AchrS_AchV4	NC_052974	Achromobacter spanius	GCF_900636675.1	species
Achromobacter phage vB_AxyP_19-32_Axy04	NC_054967	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage vB_AxyP_19-32_Axy10	NC_054971	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage vB_AxyP_19-32_Axy11	NC_054972	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage vB_AxyP_19-32_Axy12	NC_054968	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage vB_AxyP_19-32_Axy24	NC_054969	Achromobacter xylosoxidans	GCF_008432465.1	species
Acidianus filamentous virus 1	NC_005830	Acidianus hospitalis	GCF_000213215.1	species
Acidianus spindle-shaped virus 1	NC_013585	Acidianus brierleyi	GCF_003201835.2	species
Acidithiobacillus phage AcaML1	JX507079	Acidithiobacillus caldus ATCC 51756	GCF_000175575.2	strain
Acidovorax phage ACP17	NC_041997	Acidovorax citrulli	GCF_001593665.2	species
Acinetobacter phage AB1	NC_042028	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage AbKT21phiIII	NC_048142	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage Abp1	NC_021316	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage AbP2	NC_041998	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage AbTZA1	NC_049445	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage Acj61	NC_014661	Acinetobacter johnsonii	GCF_021496365.1	species
Acinetobacter phage Acj9	NC_014663	Acinetobacter johnsonii	GCF_021496365.1	species
Acinetobacter phage AM101	NC_049511	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage AP22	NC_017984	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage Fri1	NC_028848	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage IME-200	NC_028987	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage IMEAB3	NC_023590	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage KARL-1	NC_049441	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage Loki	NC_042137	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage Loki	NC_042137	Acinetobacter lwoffii	GCF_019343495.1	species
Acinetobacter phage Loki	NC_042137	Acinetobacter baylyi ADP1	GCF_000046845.1	strain
Acinetobacter phage Loki	NC_042137	Acinetobacter baumannii ATCC 17978	GCF_013372085.1	strain
Acinetobacter phage LZ35	NC_031117	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage Petty	NC_023570	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage phiAB1	NC_028675	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage phiAB6	NC_031086	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage phiAC-1	NC_028995	Acinetobacter soli	GCF_018139125.1	species
Acinetobacter phage Presley	NC_023581	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage SH-Ab 15519	NC_041905	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage SWH-Ab-1	NC_047896	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage SWH-Ab-3	NC_047883	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM-IME-AB2	NC_041857	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_Acibel004	NC_025462	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_Apostate	NC_049491	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_B09_Aci01-1	NC_048074	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_B09_Aci02-2	NC_048075	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_B09_Aci05	NC_048080	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_Berthold	NC_049490	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_Kimel	NC_049492	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_Konradin	NC_049479	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_Lazarus	NC_049493	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_ME3	NC_041884	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_phiAbaA1	NC_031280	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_PhT2	NC_049494	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_46-62_Aci07	NC_048076	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_Acibel007	NC_025457	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_AS11	NC_041915	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_AS12	NC_041914	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_B09_Aci08	NC_048081	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_B1	NC_042003	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_B1	NC_042003	Acinetobacter baumannii NIPH 2061	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_B3	NC_042004	Acinetobacter nosocomialis	GCF_005281455.1	species
Acinetobacter phage vB_AbaP_B3	NC_042004	Acinetobacter baumannii NIPH 2061	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_B5	NC_042005	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_B5	NC_042005	Acinetobacter baumannii NIPH 2061	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_D2	NC_042124	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_PD-6A3	NC_028684	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_PD-6A3	NC_028684	Staphylococcus aureus	GCF_000013425.1	species
Acinetobacter phage vB_AbaP_PD-AB9	NC_028679	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaS_TRS1	NC_031098	Acinetobacter baumannii A118	GCF_008632635.1	species
Acinetobacter phage vB_ApiM_fHyAci03	NC_049438	Acinetobacter pittii	GCF_000191145.1	species
Acinetobacter phage vB_ApiM_fHyAci03	NC_049438	Acinetobacter nosocomialis	GCF_005281455.1	species
Acinetobacter phage vB_ApiP_P1	NC_042006	Acinetobacter pittii	GCF_000191145.1	species
Acinetobacter phage vB_ApiP_P1	NC_042006	Acinetobacter baumannii NIPH 290	GCF_008632635.1	species
Acinetobacter phage vB_ApiP_P2	NC_042007	Acinetobacter pittii	GCF_000191145.1	species
Acinetobacter phage VB_ApiP_XC38	NC_055823	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage VB_ApiP_XC38	NC_055823	Acinetobacter pittii	GCF_000191145.1	species
Acinetobacter phage WCHABP1	NC_041966	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage WCHABP12	NC_041924	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage WCHABP5	NC_041967	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage YMC-13-01-C62	NC_024785	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage YMC/09/02/B1251	NC_019541	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage YMC11/11/R3177	NC_041866	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage YMC11/12/R2315	NC_028855	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage YMC11/12/R2315	NC_028855	Staphylococcus aureus	GCF_000013425.1	species
Acinetobacter phage YMC13/03/R2096	NC_027332	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage ZZ1	NC_018087	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter virus 133	NC_015250	Acinetobacter johnsonii	GCF_021496365.1	species
Actinomyces phage Av-1	DQ123818	Actinomyces naeslundii	GCF_016127855.1	species
Actinomyces phage Av-1	DQ123818	Actinomyces naeslundii MG1	GCF_016127855.1	species
Actinomyces virus Av1	NC_009643	Actinomyces naeslundii	GCF_016127855.1	species
Aeromonas phage 25AhydR2PP	NC_047966	Aeromonas hydrophila subsp. hydrophila ATCC 7966	GCF_000014805.1	strain
Aeromonas phage 2L372D	NC_048769	Aeromonas hydrophila subsp. hydrophila	GCF_002850695.3	subspecies
Aeromonas phage 2L372X	NC_048770	Aeromonas hydrophila subsp. hydrophila	GCF_002850695.3	subspecies
Aeromonas phage 2_D05	NC_054465	Aeromonas rivipollensis	GCF_003015165.1	species
Aeromonas phage 4L372D	NC_048771	Aeromonas hydrophila subsp. hydrophila	GCF_002850695.3	subspecies
Aeromonas phage 4L372XY	NC_048772	Aeromonas hydrophila subsp. hydrophila	GCF_002850695.3	subspecies
Aeromonas phage 4_4572	NC_048773	Aeromonas hydrophila subsp. hydrophila	GCF_002850695.3	subspecies
Aeromonas phage 4_D05	NC_054466	Aeromonas rivipollensis	GCF_003015165.1	species
Aeromonas phage 50AhydR13PP	NC_055746	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage 60AhydR15PP	NC_055747	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage Aeh1	NC_005260	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage Aes508	NC_019543	Aeromonas salmonicida	GCF_012931585.1	species
Aeromonas phage Ah1	NC_055733	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage Ahp1	NC_047866	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage Ahp1	NC_047866	Aeromonas hydrophila subsp. hydrophila ATCC 7966	GCF_000014805.1	strain
Aeromonas phage AhSzq-1	NC_047949	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage AhSzw-1	NC_047950	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage AS-gz	NC_042019	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage AS-gz	NC_042019	Aeromonas salmonicida	GCF_012931585.1	species
Aeromonas phage AS-sw	NC_048674	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage AS-sw	NC_048674	Aeromonas salmonicida	GCF_012931585.1	species
Aeromonas phage AS-zj	NC_048673	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage AS-zj	NC_048673	Aeromonas salmonicida	GCF_012931585.1	species
Aeromonas phage BUCT551	NC_052986	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage BUCT551	NC_052986	Aeromonas veronii	GCF_008693705.1	species
Aeromonas phage CC2	NC_019538	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage CF7	NC_047865	Aeromonas hydrophila subsp. hydrophila	GCF_002850695.3	subspecies
Aeromonas phage LAh_6	NC_048774	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage LAh_7	NC_052985	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage LAh_8	NC_048775	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage LAh_9	NC_048776	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage pAh6-C	NC_025459	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage phiAS4	NC_014635	Aeromonas salmonicida	GCF_012931585.1	species
Aeromonas phage phiAS5	NC_014636	Aeromonas salmonicida	GCF_012931585.1	species
Aeromonas phage phiAS7	NC_019528	Aeromonas salmonicida subsp. salmonicida	GCF_020683025.1	subspecies
Aeromonas phage PX29	NC_023688	Aeromonas salmonicida	GCF_012931585.1	species
Aeromonas phage vB_AhyS-A18P4	NC_052984	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage vB_AsaM-56	NC_019527	Aeromonas salmonicida	GCF_012931585.1	species
Aeromonas phage ZPAH7	NC_048133	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas virus 25	NC_008208	Aeromonas salmonicida	GCF_012931585.1	species
Aeromonas virus 31	NC_007022	Aeromonas salmonicida	GCF_012931585.1	species
Aeromonas virus 44RR2	NC_005135	Aeromonas salmonicida	GCF_012931585.1	species
Aeromonas virus 65	NC_015251	Aeromonas salmonicida	GCF_012931585.1	species
Aeromonas virus phiO18P	NC_009542	Aeromonas media	GCF_020423125.1	species
Aeropyrum coil-shaped virus	NC_043427	Aeropyrum pernix	GCF_000011125.1	species
Aeropyrum globular virus 1	NC_036595	Aeropyrum pernix K1	GCF_000011125.1	strain
Aeropyrum globular virus 1	NC_036595	Aeropyrum camini SY1 = JCM 12091	GCF_000591035.1	strain
Aeropyrum pernix bacilliform virus 1	NC_043030	Aeropyrum pernix K1	GCF_000011125.1	strain
Aeropyrum pernix ovoid virus 1	NC_028256	Aeropyrum pernix	GCF_000011125.1	species
Aeropyrum pernix ovoid virus 1	NC_028256	Aeropyrum pernix K1	GCF_000011125.1	strain
Aeropyrum pernix spindle-shaped virus 1	NC_028268	Aeropyrum pernix	GCF_000011125.1	species
Aeropyrum pernix spindle-shaped virus 1	NC_028268	Aeropyrum pernix K1	GCF_000011125.1	strain
Aggregatibacter phage S1249	NC_013597	Aggregatibacter actinomycetemcomitans D11S-1	GCF_000146265.3	strain
Agrobacterium phage 7-7-1	NC_019519	Agrobacterium fabacearum	GCF_000442985.1	species
Agrobacterium phage Atu_ph02	NC_047845	Agrobacterium tumefaciens	GCF_003667905.1	species
Agrobacterium phage Atu_ph03	NC_047846	Agrobacterium tumefaciens	GCF_003667905.1	species
Agrobacterium phage Atu_ph07	NC_042013	Agrobacterium tumefaciens	GCF_003667905.1	species
Alteromonas phage vB_AmaP_AD45-P1	NC_021532	Alteromonas macleodii str. 'Black Sea 11'	GCF_000299995.1	strain
Alteromonas phage vB_AmaP_AD45-P1	NC_021532	Alteromonas mediterranea DE1	GCF_000310085.1	strain
Alteromonas phage vB_AmaP_AD45-P1	NC_021532	Alteromonas macleodii str. 'Balearic Sea AD45'	GCF_000300175.1	strain
Alteromonas phage vB_AmaP_AD45-P1	NC_021532	Alteromonas mediterranea DE	GCF_000020585.3	strain
Alteromonas phage vB_AmaP_AD45-P2	KF005320	Alteromonas macleodii str. 'Black Sea 11'	GCF_000299995.1	strain
Alteromonas phage vB_AmaP_AD45-P2	KF005320	Alteromonas mediterranea DE1	GCF_000310085.1	strain
Alteromonas phage vB_AmaP_AD45-P2	KF005320	Alteromonas macleodii str. 'Balearic Sea AD45'	GCF_000300175.1	strain
Alteromonas phage vB_AmaP_AD45-P2	KF005320	Alteromonas mediterranea DE	GCF_000020585.3	strain
Alteromonas phage vB_AmaP_AD45-P3	KF005318	Alteromonas macleodii str. 'Black Sea 11'	GCF_000299995.1	strain
Alteromonas phage vB_AmaP_AD45-P3	KF005318	Alteromonas mediterranea DE1	GCF_000310085.1	strain
Alteromonas phage vB_AmaP_AD45-P3	KF005318	Alteromonas macleodii str. 'Balearic Sea AD45'	GCF_000300175.1	strain
Alteromonas phage vB_AmaP_AD45-P3	KF005318	Alteromonas mediterranea DE	GCF_000020585.3	strain
Alteromonas phage vB_AmaP_AD45-P4	KF005319	Alteromonas macleodii str. 'Black Sea 11'	GCF_000299995.1	strain
Alteromonas phage vB_AmaP_AD45-P4	KF005319	Alteromonas mediterranea DE1	GCF_000310085.1	strain
Alteromonas phage vB_AmaP_AD45-P4	KF005319	Alteromonas macleodii str. 'Balearic Sea AD45'	GCF_000300175.1	strain
Alteromonas phage vB_AmaP_AD45-P4	KF005319	Alteromonas mediterranea DE	GCF_000020585.3	strain
Alteromonas phage vB_AmeM_PT11-V22	NC_048847	Alteromonas mediterranea	GCF_001886435.1	species
Anabaena phage A-4L	NC_024358	Nostoc sp. PCC 7120 = FACHB-418	GCF_000009705.1	species
Anoxybacillus phage A403	NC_048701	Anoxybacillus caldiproteolyticus	GCF_015326725.1	species
Arthrobacter phage DrManhattan	NC_048093	Sinomonas atrocyanea	GCF_001577305.1	species
Azobacteroides phage ProJPt-Bp1	NC_055706	Candidatus Azobacteroides pseudotrichonymphae	GCF_002091395.1	species
Azospirillum phage Cd	NC_010355	Azospirillum brasilense	GCF_022023855.1	species
Bacillus phage 0305phi8-36	NC_009760	Bacillus thuringiensis	GCF_000161615.1	species
Bacillus phage 250	NC_029024	Bacillus cereus	GCF_018309165.1	species
Bacillus phage Andromeda	NC_020478	Bacillus pumilus BL8	GCF_020535425.1	species
Bacillus phage AP50	NC_011523	Bacillus anthracis	GCF_000008445.1	species
Bacillus phage AR9	NC_031039	Bacillus subtilis subsp. subtilis str. 168	GCF_000009045.1	strain
Bacillus phage AvesoBmore	NC_028887	Bacillus thuringiensis serovar kurstaki	GCF_000717535.1	no rank
Bacillus phage B4	NC_018863	Bacillus cereus	GCF_018309165.1	species
Bacillus phage B5S	NC_047736	Bacillus cereus	GCF_018309165.1	species
Bacillus phage Bam35c	NC_005258	Bacillus thuringiensis	GCF_000161615.1	species
Bacillus phage Baseball_field	NC_055905	Bacillus thuringiensis serovar kurstaki	GCF_000717535.1	no rank
Bacillus phage Basilisk	KC595511	Bacillus cereus	GCF_018309165.1	species
Bacillus phage Basilisk	KC595511	Bacillus cereus BGSC 6E1	GCF_000160915.1	strain
Bacillus phage Bastille	NC_018856	Bacillus cereus	GCF_018309165.1	species
Bacillus phage BCD7	NC_019515	Bacillus cereus	GCF_018309165.1	species
Bacillus phage Bcp1	NC_024137	Bacillus cereus	GCF_018309165.1	species
Bacillus phage BCP78	NC_018860	Bacillus cereus	GCF_018309165.1	species
Bacillus phage BCP8-2	NC_027355	Bacillus cereus	GCF_018309165.1	species
Bacillus phage BCU4	NC_047735	Bacillus cereus	GCF_018309165.1	species
Bacillus phage BeachBum	NC_049961	Bacillus cereus	GCF_018309165.1	species
Bacillus phage BeachBum	NC_049961	Bacillus thuringiensis serovar israelensis	GCF_013113775.1	no rank
Bacillus phage BeachBum	NC_049961	Bacillus thuringiensis serovar kurstaki	GCF_000717535.1	no rank
Bacillus phage BeachBum	NC_049961	Bacillus anthracis str. Sterne	GCF_000832635.1	strain
Bacillus phage Belinda	NC_031024	Bacillus thuringiensis	GCF_000161615.1	species
Bacillus phage BigBertha	NC_022769	Bacillus thuringiensis serovar kurstaki	GCF_000717535.1	no rank
Bacillus phage Blastoid	NC_022773	Bacillus pumilus	GCF_020535425.1	species
Bacillus phage Bobb	NC_024792	Bacillus pumilus	GCF_020535425.1	species
Bacillus phage Bp8p-C	NC_029121	Bacillus pumilus	GCF_020535425.1	species
Bacillus phage Bp8p-T	NC_047744	Bacillus pumilus	GCF_020535425.1	species
Bacillus phage BPS10C	NC_023501	Bacillus cereus	GCF_018309165.1	species
Bacillus phage BPS10C	NC_023501	Bacillus mycoides	GCF_018739485.1	species
Bacillus phage BPS10C	NC_023501	Bacillus thuringiensis	GCF_000161615.1	species
Bacillus phage BPS10C	NC_023501	Bacillus thuringiensis serovar kurstaki	GCF_000717535.1	no rank
Bacillus phage BPS10C	NC_023501	Bacillus cereus ATCC 14579	GCF_006094295.1	strain
Bacillus phage BPS10C	NC_023501	Bacillus cereus ATCC 10876	GCF_000160895.1	strain
Bacillus phage BPS13	NC_018857	Bacillus cereus	GCF_018309165.1	species
Bacillus phage BSP38	NC_048726	Bacillus licheniformis	GCF_002074095.1	species
Bacillus phage BSP38	NC_048726	Bacillus subtilis	GCF_000009045.1	species
Bacillus phage BtCS33	NC_018085	Bacillus thuringiensis	GCF_000161615.1	species
Bacillus phage CAM003	NC_024216	Bacillus thuringiensis	GCF_000161615.1	species
Bacillus phage CampHawk	NC_022761	Bacillus subtilis	GCF_000009045.1	species
Bacillus phage Carmen17	NC_048698	Bacillus thuringiensis	GCF_000161615.1	species
Bacillus phage Cherry	DQ222851	Bacillus anthracis str. Vollum	GCF_000742895.1	strain
Bacillus phage CP-51	NC_025423	Bacillus cereus	GCF_018309165.1	species
Bacillus phage Curly	NC_020479	Bacillus pumilus BL8	GCF_020535425.1	species
Bacillus phage Deep Blue	NC_031056	Bacillus cereus BtB2-4	GCF_018309165.1	species
Bacillus phage Deep-Purple	NC_048667	Bacillus cereus	GCF_018309165.1	species
Bacillus phage Deep-Purple	NC_048667	Bacillus mycoides	GCF_018739485.1	species
Bacillus phage DIGNKC	NC_031006	Bacillus thuringiensis serovar kurstaki	GCF_000717535.1	no rank
Bacillus phage DirtyBetty	NC_031054	Bacillus thuringiensis serovar kurstaki	GCF_000717535.1	no rank
Bacillus phage DK1	NC_049967	Bacillus cereus	GCF_018309165.1	species
Bacillus phage DK2	NC_049968	Bacillus cereus	GCF_018309165.1	species
Bacillus phage DK3	NC_049969	Bacillus cereus	GCF_018309165.1	species
Bacillus phage DLc1	NC_055908	Bacillus cereus	GCF_018309165.1	species
Bacillus phage Eldridge	NC_030920	Priestia megaterium	GCF_022537925.1	species
Bacillus phage Eoghan	NC_020477	Bacillus pumilus BL8	GCF_020535425.1	species
Bacillus phage Evoli	NC_024207	Bacillus thuringiensis serovar kurstaki	GCF_000717535.1	no rank
Bacillus phage Evoli	NC_024207	Bacillus subtilis subsp. subtilis str. 168	GCF_000009045.1	strain
Bacillus phage Eyuki	NC_028944	Bacillus thuringiensis serovar kurstaki	GCF_000717535.1	no rank
Bacillus phage Fah	NC_007814	Bacillus anthracis	GCF_000008445.1	species
Bacillus phage Fah	NC_007814	Bacillus cereus	GCF_018309165.1	species
Bacillus phage Finn	NC_020480	Bacillus pumilus BL8	GCF_020535425.1	species
Bacillus phage G	NC_023719	Priestia megaterium	GCF_022537925.1	species
Bacillus phage GA1	NC_002649	Bacillus subtilis	GCF_000009045.1	species
Bacillus phage Gamma	NC_007458	Bacillus cereus	GCF_018309165.1	species
Bacillus phage Gamma isolate d'Herelle	DQ289556	Bacillus anthracis	GCF_000008445.1	species
Bacillus phage Gamma isolate d'Herelle	DQ289556	Bacillus cereus	GCF_018309165.1	species
Bacillus phage Gamma isolate d'Herelle	DQ289556	Bacillus cereus ATCC 4342	GCF_000832845.1	strain
Bacillus phage Gemini	KC330681	Bacillus pumilus BL8	GCF_020535425.1	species
Bacillus phage GIL16c	NC_006945	Bacillus thuringiensis	GCF_000161615.1	species
Bacillus phage Glittering	NC_022766	Bacillus pumilus	GCF_020535425.1	species
Bacillus phage Grass	NC_022771	Bacillus subtilis	GCF_000009045.1	species
Bacillus phage Harambe	NC_049960	Bacillus cereus	GCF_018309165.1	species
Bacillus phage Harambe	NC_049960	Bacillus thuringiensis serovar israelensis	GCF_013113775.1	no rank
Bacillus phage Harambe	NC_049960	Bacillus thuringiensis serovar kurstaki	GCF_000717535.1	no rank
Bacillus phage Harambe	NC_049960	Bacillus cereus ATCC 14579	GCF_006094295.1	strain
Bacillus phage Harambe	NC_049960	Bacillus thuringiensis str. Al Hakam	GCF_000015065.1	strain
Bacillus phage Hoody T	NC_024205	Bacillus thuringiensis serovar kurstaki	GCF_000717535.1	no rank
Bacillus phage IEBH	NC_011167	Bacillus thuringiensis	GCF_000161615.1	species
Bacillus phage JBP901	NC_027352	Bacillus cereus ATCC 14579	GCF_006094295.1	strain
Bacillus phage JL	NC_028982	Bacillus cereus	GCF_018309165.1	species
Bacillus phage Juan	NC_049963	Bacillus thuringiensis serovar kurstaki	GCF_000717535.1	no rank
Bacillus phage Karezi	NC_049970	Bacillus thuringiensis serovar kurstaki	GCF_000717535.1	no rank
Bacillus phage Kida	NC_031012	Bacillus thuringiensis serovar kurstaki	GCF_000717535.1	no rank
Bacillus phage KonjoTrouble	NC_049964	Bacillus cereus	GCF_018309165.1	species
Bacillus phage Mater	NC_027366	Priestia megaterium	GCF_022537925.1	species
Bacillus phage MG-B1	NC_021336	Bacillus mycoides	GCF_018739485.1	species
Bacillus phage Moonbeam	NC_027374	Priestia megaterium	GCF_022537925.1	species
Bacillus phage Nemo	NC_031070	Bacillus thuringiensis serovar kurstaki	GCF_000717535.1	no rank
Bacillus phage Nf	NC_049976	Bacillus subtilis subsp. subtilis str. 168	GCF_000009045.1	strain
Bacillus phage Nigalana	NC_031037	Bacillus thuringiensis serovar kurstaki	GCF_000717535.1	no rank
Bacillus phage NotTheCreek	NC_031049	Bacillus thuringiensis serovar kurstaki	GCF_000717535.1	no rank
Bacillus phage Page	NC_022764	Priestia megaterium	GCF_022537925.1	species
Bacillus phage Page	NC_022764	Priestia megaterium QM B1551	GCF_000025825.1	strain
Bacillus phage Page	NC_022764	Priestia megaterium WSH-002	GCF_000225265.1	strain
Bacillus phage Palmer	NC_028926	Priestia megaterium	GCF_022537925.1	species
Bacillus phage Pascal	NC_027372	Priestia megaterium	GCF_022537925.1	species
Bacillus phage Pavlov	NC_028782	Priestia megaterium	GCF_022537925.1	species
Bacillus phage PBC1	NC_017976	Bacillus cereus	GCF_018309165.1	species
Bacillus phage PBS1	NC_043027	Bacillus subtilis	GCF_000009045.1	species
Bacillus phage PfEFR-4	NC_048641	Bacillus cereus	GCF_018309165.1	species
Bacillus phage PfEFR-4	NC_048641	Bacillus cereus NC7401	GCF_000283675.1	strain
Bacillus phage PfEFR-5	NC_031055	Bacillus cereus	GCF_018309165.1	species
Bacillus phage PfEFR-5	NC_031055	Bacillus cereus NC7401	GCF_000283675.1	strain
Bacillus phage pGIL01	AJ536073	Bacillus thuringiensis serovar israelensis	GCF_013113775.1	no rank
Bacillus phage phBC6A51	NC_004820	Bacillus cereus	GCF_018309165.1	species
Bacillus phage phBC6A52	NC_004821	Bacillus cereus	GCF_018309165.1	species
Bacillus phage phi105	NC_004167	Bacillus subtilis	GCF_000009045.1	species
Bacillus phage phi105	NC_048631	Bacillus subtilis	GCF_000009045.1	species
Bacillus phage phi29	NC_011048	Bacillus subtilis	GCF_000009045.1	species
Bacillus phage phi4B1	NC_028886	Bacillus cereus	GCF_018309165.1	species
Bacillus phage phi4B1	NC_028886	Bacillus thuringiensis	GCF_000161615.1	species
Bacillus phage phi4J1	NC_029008	Bacillus cereus	GCF_018309165.1	species
Bacillus phage phi4J1	NC_029008	Bacillus thuringiensis	GCF_000161615.1	species
Bacillus phage phiAGATE	NC_020081	Bacillus pumilus	GCF_020535425.1	species
Bacillus phage phiCM3	NC_023599	Bacillus thuringiensis	GCF_000161615.1	species
Bacillus phage phiNIT1	NC_021856	Bacillus subtilis	GCF_000009045.1	species
Bacillus phage phIS3501	NC_019502	Bacillus thuringiensis serovar israelensis ATCC 35646	GCF_000161615.1	species
Bacillus phage Phrodo	NC_031100	Bacillus thuringiensis serovar kurstaki	GCF_000717535.1	no rank
