virus_name	viral_acc	report_host	gcf	find_taxrank
Escherichia phage DT571/2	NC_047749	Escherichia coli	GCF_000008865.2	species
Escherichia phage DT57C	KM979354	Escherichia coli	GCF_000008865.2	species
Escherichia phage DTL	NC_047893	Escherichia coli K-12	GCF_000005845.2	strain
Escherichia phage Ebrios	NC_047942	Escherichia coli C	GCF_002079225.1	strain
Escherichia phage EC1-UPM	NC_041906	Escherichia coli	GCF_000008865.2	species
Escherichia phage EC121	NC_054909	Escherichia coli	GCF_000008865.2	species
Escherichia phage EC6098	NC_048874	Escherichia coli K-12	GCF_000005845.2	strain
Escherichia phage ECA2	NC_047766	Escherichia coli	GCF_000008865.2	species
Escherichia phage ECBP1	NC_018854	Escherichia coli	GCF_000008865.2	species
Escherichia phage ECBP2	NC_018859	Escherichia coli	GCF_000008865.2	species
Escherichia phage ECBP5	NC_027330	Escherichia coli	GCF_000008865.2	species
Escherichia phage ECD7	NC_041936	Escherichia coli	GCF_000008865.2	species
Escherichia phage ECML-117	NC_025441	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage ECML-134	NC_025449	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage ECML-4	NC_025446	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage EcNP1	NC_054910	Escherichia coli	GCF_000008865.2	species
Escherichia phage ECO4	NC_054911	Escherichia coli	GCF_000008865.2	species
Escherichia phage EcoDS1	NC_011042	Escherichia coli	GCF_000008865.2	species
Escherichia phage Eco_BIFF	NC_047996	Escherichia coli K-12	GCF_000005845.2	strain
Escherichia phage ECP1	NC_049926	Escherichia coli str. K-12 substr. MG1655	GCF_000005845.2	no rank
Escherichia phage EcS1	NC_055721	Escherichia coli	GCF_000008865.2	species
Escherichia phage EG1	NC_047895	Escherichia coli str. K-12 substr. MG1655	GCF_000005845.2	no rank
Escherichia phage egaa	NC_049852	Escherichia coli str. K-12 substr. MG1655	GCF_000005845.2	no rank
Escherichia phage EK99P-1	NC_024783	Escherichia coli	GCF_000008865.2	species
Escherichia phage Envy	NC_031081	Escherichia coli	GCF_000008865.2	species
Escherichia phage Eps7	NC_010583	Escherichia coli	GCF_000008865.2	species
Escherichia phage ESCO13	NC_047770	Escherichia coli	GCF_000008865.2	species
Escherichia phage ESCO5	NC_047776	Escherichia coli	GCF_000008865.2	species
Escherichia phage F2	NC_054913	Escherichia coli	GCF_000008865.2	species
Escherichia phage fd	NC_025824	Escherichia coli	GCF_000008865.2	species
Escherichia phage FEC14	NC_049427	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage FEC19	NC_048073	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage FFH2	NC_024134	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage flopper	NC_048845	Escherichia coli K-12	GCF_000005845.2	strain
Escherichia phage fp01	NC_048731	Escherichia coli	GCF_000008865.2	species
Escherichia phage FV3	NC_019517	Escherichia coli	GCF_000008865.2	species
Escherichia phage G4	NC_001420	Escherichia coli	GCF_000008865.2	species
Escherichia phage GA2A	NC_031943	Escherichia coli	GCF_000008865.2	species
Escherichia phage Gluttony	NC_031113	Escherichia coli	GCF_000008865.2	species
Escherichia phage Gostya9	NC_047979	Escherichia coli	GCF_000008865.2	species
Escherichia phage grams	NC_049825	Escherichia coli str. K-12 substr. MG1655	GCF_000005845.2	no rank
Escherichia phage haarsle	NC_049828	Escherichia coli str. K-12 substr. MG1655	GCF_000005845.2	no rank
Escherichia phage Henu7	NC_054894	Escherichia coli	GCF_000008865.2	species
Escherichia phage Henu8	NC_049853	Escherichia coli	GCF_000008865.2	species
Escherichia phage herni	NC_049823	Escherichia coli str. K-12 substr. MG1655	GCF_000005845.2	no rank
Escherichia phage HK022	NC_002166	Escherichia coli	GCF_000008865.2	species
Escherichia phage HK106	NC_019768	Escherichia coli	GCF_000008865.2	species
Escherichia phage HK446	NC_019714	Escherichia coli	GCF_000008865.2	species
Escherichia phage HK542	NC_019769	Escherichia coli	GCF_000008865.2	species
Escherichia phage HK544	NC_019767	Escherichia coli	GCF_000008865.2	species
Escherichia phage HK578	NC_019724	Escherichia coli	GCF_000008865.2	species
Escherichia phage HK629	NC_019711	Escherichia coli	GCF_000008865.2	species
Escherichia phage HK630	NC_019723	Escherichia coli	GCF_000008865.2	species
Escherichia phage HK633	NC_019719	Escherichia coli	GCF_000008865.2	species
Escherichia phage HK639	NC_016158	Escherichia coli	GCF_000008865.2	species
Escherichia phage HK75	NC_016160	Escherichia coli K-12	GCF_000005845.2	strain
Escherichia phage HK97	NC_002167	Escherichia coli	GCF_000008865.2	species
Escherichia phage HP3	NC_041919	Escherichia coli	GCF_000008865.2	species
Escherichia phage HX01	NC_018855	Escherichia coli	GCF_000008865.2	species
Escherichia phage HY02	NC_028872	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage HY03	NC_031047	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage HZ2R8	NC_047923	Escherichia coli	GCF_000008865.2	species
Escherichia phage HZP2	NC_048164	Escherichia coli	GCF_000008865.2	species
Escherichia phage ID2 Moscow/ID/2001	NC_007817	Escherichia coli	GCF_000008865.2	species
Escherichia phage If1	NC_001954	Escherichia coli	GCF_000008865.2	species
Escherichia phage IME08	NC_014260	Escherichia coli	GCF_000008865.2	species
Escherichia phage ime09	NC_019503	Escherichia coli	GCF_000008865.2	species
Escherichia phage IME11	NC_019423	Escherichia coli	GCF_000008865.2	species
Escherichia phage J8-65	NC_025445	Escherichia coli K-12	GCF_000005845.2	strain
Escherichia phage JES2013	NC_022323	Escherichia coli str. K-12 substr. MG1655	GCF_000005845.2	no rank
Escherichia phage JH2	NC_029023	Escherichia coli	GCF_000008865.2	species
Escherichia phage Jk06	NC_007291	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage JL1	JX865427	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage JLK-2012	NC_049942	Escherichia coli O55:H7	GCF_000008865.2	species
Escherichia phage JMPW1	NC_041874	Escherichia coli	GCF_000008865.2	species
Escherichia phage JMPW2	NC_041873	Escherichia coli	GCF_000008865.2	species
Escherichia phage JS10	NC_012741	Escherichia coli K-12	GCF_000005845.2	strain
Escherichia phage JS98	NC_010105	Escherichia coli	GCF_000008865.2	species
Escherichia phage JSE	NC_012740	Escherichia coli K-12	GCF_000005845.2	strain
Escherichia phage K1F	NC_007456	Escherichia coli	GCF_000008865.2	species
Escherichia phage K1F	NC_007636	Escherichia coli	GCF_000008865.2	species
Escherichia phage K1G	NC_027993	Escherichia coli	GCF_000008865.2	species
Escherichia phage K1H	NC_027994	Escherichia coli	GCF_000008865.2	species
Escherichia phage K1ind1	NC_041897	Escherichia coli	GCF_000008865.2	species
Escherichia phage K1ind2	NC_041898	Escherichia coli	GCF_000008865.2	species
Escherichia phage K1ind3	GU196281	Escherichia coli	GCF_000008865.2	species
Escherichia phage KBNP1711	NC_023593	Escherichia coli	GCF_000008865.2	species
Escherichia phage KIT03	NC_054923	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage Lambda_ev017	NC_049948	Escherichia coli	GCF_000008865.2	species
Escherichia phage Lambda_ev099	NC_049953	Escherichia coli	GCF_000008865.2	species
Escherichia phage Lambda_ev207	NC_049949	Escherichia coli	GCF_000008865.2	species
Escherichia phage Lambda_ev243	NC_049955	Escherichia coli	GCF_000008865.2	species
Escherichia phage Lidtsur	NC_048177	Escherichia coli str. K-12 substr. MG1655	GCF_000005845.2	no rank
Escherichia phage LL11	NC_048064	Escherichia coli	GCF_000008865.2	species
Escherichia phage LL2	NC_048063	Escherichia coli	GCF_000008865.2	species
Escherichia phage LM33_P1	NC_031937	Escherichia coli	GCF_000008865.2	species
Escherichia phage Lw1	NC_021344	Escherichia coli BL21(DE3)	GCF_019754155.1	strain
Escherichia phage Lyz12581Vzw	NC_049917	Escherichia coli O145	GCF_014623425.1	serogroup
Escherichia phage Mangalitsa	NC_048799	Escherichia coli	GCF_000008865.2	species
Escherichia phage mEp234	NC_019715	Escherichia coli	GCF_000008865.2	species
Escherichia phage mEpX1	NC_019709	Escherichia coli	GCF_000008865.2	species
Escherichia phage mEpX2	NC_019705	Escherichia coli	GCF_000008865.2	species
Escherichia phage Min27	NC_010237	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage Minorna	NC_048172	Escherichia coli	GCF_000008865.2	species
Escherichia phage MLF4	NC_055780	Escherichia coli	GCF_000008865.2	species
Escherichia phage MS2	NC_001417	Escherichia coli	GCF_000008865.2	species
Escherichia phage Mt1B1_P17	NC_052662	Escherichia coli	GCF_000008865.2	species
Escherichia phage Mu	NC_000929	Escherichia coli	GCF_000008865.2	species
Escherichia phage Murica	NC_041871	Escherichia coli	GCF_000008865.2	species
Escherichia phage muut	NC_052657	Escherichia coli str. K-12 substr. MG1655	GCF_000005845.2	no rank
Escherichia phage MX01	NC_031934	Escherichia coli	GCF_000008865.2	species
Escherichia phage N15	NC_001901	Escherichia coli	GCF_000008865.2	species
Escherichia phage N30	NC_048078	Escherichia coli	GCF_000008865.2	species
Escherichia phage N4	NC_008720	Escherichia coli	GCF_000008865.2	species
Escherichia phage N4	NC_008720	Escherichia coli K-12	GCF_000005845.2	strain
Escherichia phage NC-A	NC_048163	Escherichia coli NC101	GCF_000008865.2	species
Escherichia phage nepoznato	NC_052658	Escherichia coli str. K-12 substr. MG1655	GCF_000005845.2	no rank
Escherichia phage nieznany	NC_052659	Escherichia coli str. K-12 substr. MG1655	GCF_000005845.2	no rank
Escherichia phage NJ01	NC_018835	Escherichia coli	GCF_000008865.2	species
Escherichia phage OSYSP	NC_047835	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage p000v	NC_055781	Escherichia coli	GCF_000008865.2	species
Escherichia phage P1	NC_005856	Escherichia coli	GCF_000008865.2	species
Escherichia phage P2	KC618326	Escherichia coli O157:H43 str. T22	GCF_000008865.2	species
Escherichia phage P483	NC_028822	Escherichia coli	GCF_000008865.2	species
Escherichia phage P694	NC_028863	Escherichia coli	GCF_000008865.2	species
Escherichia phage PA2	NC_028449	Escherichia coli PA2	GCF_000008865.2	species
Escherichia phage PA28	NC_041935	Escherichia coli PA28	GCF_000008865.2	species
Escherichia phage PBECO4	NC_027364	Escherichia coli O157	GCF_008727195.1	serogroup
Escherichia phage PE3-1	NC_024379	Escherichia coli O153	GCF_000008865.2	species
Escherichia phage PE37	NC_054929	Escherichia coli	GCF_000008865.2	species
Escherichia phage PGN590	NC_049830	Escherichia coli	GCF_000008865.2	species
Escherichia phage PGT2	NC_047890	Escherichia coli	GCF_000008865.2	species
Escherichia phage phAPEC8	NC_020079	Escherichia coli	GCF_000008865.2	species
Escherichia phage PhaxI	NC_019452	Escherichia coli O157:H7	GCF_000008865.2	species
Escherichia phage Phi1	NC_009821	Escherichia coli K-12	GCF_000005845.2	strain
Escherichia phage phi191	NC_028660	Escherichia coli O111:H2	GCF_000008865.2	species
